,REP_DATE,CAD_date_time,X_COORDINATE,Y_COORDINATE,search_success,isMale,race_known,BLACK,HISPANIC OR LATINO,WHITE,CALL FOR SERVICE,CONSENSUAL CONTACT,MOTOR VEHICLE DRIVER,OTHER,PRE-EXISTING KNOWLEDGE,SUSPICIOUS PERSON / VEHICLE,VIOLATION OF CITY ORDIANCE,VIOLATION OF PENAL CODE,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,ADAM PD,BAKER,CHARLIE,DAVID,EDWARD,FRANK,GEORGE,HENR,IDA,OOC,TRAVIS PD
3357,-0.031236580914026126,-0.025107130009356958,-0.05852756416181519,-0.9290396477135421,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3538,1.524345148604475,1.537811713073114,-0.5981399493972536,-0.35757969186305705,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
3551,1.524345148604475,1.537811713073114,1.8907587584475922,0.23907863848192587,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3574,1.524345148604475,1.537811713073114,-0.5225157194281217,-0.6431315894031794,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
3595,1.524345148604475,1.537811713073114,-0.785860348092782,1.3448242697890698,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3601,1.524345148604475,1.537811713073114,0.9908304218149232,1.0782379332642409,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3640,1.524345148604475,1.537811713073114,0.1144508960334016,1.0928850449403713,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3657,1.524345148604475,1.537811713073114,-2.3387416880412086,2.8991098711175316,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3667,1.524345148604475,1.537811713073114,-0.1490851863780161,-0.9072693206326066,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3675,1.524345148604475,1.537811713073114,2.6600199129184072,0.027430100766655866,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3701,1.524345148604475,1.537811713073114,-1.4118183731157607,-0.9298855295428626,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
3803,1.524345148604475,1.537811713073114,0.6194101531057693,0.5304626686347325,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3806,1.524345148604475,1.537811713073114,0.6194101531057693,0.5304626686347325,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
