PRIMARY_KEY,REP_DATE,CAD_date_time,SEX,APD_RACE_DESC,LOCATION,PERSON_SEARCHED_DESC,REASON_FOR_STOP_DESC,CORRECTED_search_based_on,CORRECTED_search_discovered,RACE_KNOWN,X_COORDINATE,Y_COORDINATE,CAD_sector,CouncilDistrict
20172310200,08/19/2017,08/19/2017,M,WHITE,8220 W SH 71,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3068872,10061969,DAVID,Council District 8
20173000220,10/27/2017,10/27/2017,M,HISPANIC OR LATINO,9106 N IH 35 SVRD SB,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3130051,10103285,EDWARD,Council District 4
20173191682,11/15/2017,11/15/2017,F,HISPANIC OR LATINO,5005 COPPERBEND BLVD,YES = 1,VIOLATION OF PENAL CODE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3115733,10044775,FRANK,Council District 2
20172670075,09/24/2017,09/24/2017,M,WHITE,8400 JAMESTOWN DR,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3122866,10102892,EDWARD,Council District 4
20173470758,12/13/2017,12/13/2017,M,WHITE,8531 RESEARCH BLVD SVRD NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3121830,10104550,IDA,
2017871900,03/28/2017,03/28/2017,F,HISPANIC OR LATINO,2300 N LAMAR BLVD,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3110891,10077638,BAKER,Council District 9
2017421617,02/12/2017,02/11/2017,M,WHITE,1412 HARTFORD RD,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3107906,10076677,BAKER,Council District 9
20171030032,04/13/2017,04/13/2017,M,HISPANIC OR LATINO,9200 WALL ST,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3136780,10098846,EDWARD,Council District 1
20173231130,11/19/2017,11/19/2017,M,WHITE,2200 S CONGRESS AVE,NO = 2,,,,,3111435,10061115,DAVID,Council District 9
2017700158,03/11/2017,03/11/2017,M,HISPANIC OR LATINO,N LAMAR BLVD / W BRAKER LN,NO = 2,,,,,3131136,10112573,EDWARD,Council District 4
20171111135,04/21/2017,04/21/2017,F,BLACK,800 SPRINGDALE RD,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3127873,10067636,CHARLIE,Council District 3
20173470758,12/13/2017,12/13/2017,M,WHITE,8531 RESEARCH BLVD SVRD NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3121830,10104550,IDA,
20171310038,05/11/2017,05/11/2017,M,BLACK,2200 E 7TH ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3122554,10068593,CHARLIE,Council District 3
2017451654,02/14/2017,02/14/2017,M,BLACK,6100 LA NARANJA LN,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3073626,10050284,DAVID,Council District 8
2017560268,02/25/2017,02/25/2017,F,WHITE,E 7TH ST / RED RIVER ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3116207,10070556,GEORGE,Council District 9
20172100112,07/29/2017,07/29/2017,M,HISPANIC OR LATINO,8800 N IH 35 SVRD SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3129362,10101733,EDWARD,Council District 4
20173081241,11/04/2017,11/04/2017,M,HISPANIC OR LATINO,1803 E ANDERSON LN SVRD EB,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3132901,10093814,IDA,Council District 1
20173620126,12/28/2017,12/28/2017,M,WHITE,11600 RESEARCH BLVD SVRD NB,YES = 1,MOTOR VEHICLE DRIVER,INCIDENTAL TO ARREST,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3112202,10123810,ADAM PD,Council District 6
2017400171,02/09/2017,02/09/2017,M,BLACK,1400 RUTLAND DR,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3124853,10108083,EDWARD,Council District 4
20172650067,09/22/2017,09/22/2017,M,WHITE,1300 BLOCK W 24TH ST,YES = 1,PRE-EXISTING KNOWLEDGE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3111311,10078260,BAKER,Council District 9
20173390709,12/05/2017,12/05/2017,F,WHITE,5600 CAMERON RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,3126020,10087689,IDA,Council District 4
201752047,01/05/2017,01/05/2017,M,BLACK,1211 E LIVE OAK ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3114471,10059095,HENR,Council District 9
20171620104,06/11/2017,06/11/2017,M,BLACK,3300 E 12TH ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3127960,10074400,CHARLIE,Council District 1
2017631151,03/04/2017,03/04/2017,M,HISPANIC OR LATINO,S US 183 HWY SB / BURLESON RD,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,3132462,10040190,HENR,Council District 2
2017471782,02/16/2017,02/16/2017,M,BLACK,10900 DESSAU RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3136800,10107639,EDWARD,Council District 1
2017790166,03/20/2017,03/20/2017,M,WHITE,1501 REAGAN HILL DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3130394,10092312,IDA,Council District 4
20171920033,07/11/2017,07/11/2017,M,HISPANIC OR LATINO,11500 N MOPAC EXPY NB,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3118191,10120143,ADAM PD,Council District 7
